63,"CPU(brand='AMD', model='A8-9600', cores=4, base_clock=ClockSpeed(cycles=3100000000), boost_clock=ClockSpeed(cycles=3400000000), tdp=65, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 213.74 USD>)"
64,"CPU(brand='AMD', model='Athlon 200GE', cores=2, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 0.00 USD>)"
65,"CPU(brand='AMD', model='Athlon 200GE', cores=2, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 110.89 USD>)"
66,"CPU(brand='AMD', model='Athlon 220GE', cores=2, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 0.00 USD>)"
67,"CPU(brand='AMD', model='Athlon 220GE', cores=2, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 113.58 USD>)"
68,"CPU(brand='AMD', model='Athlon 240GE', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 113.58 USD>)"
69,"CPU(brand='AMD', model='Athlon 240GE', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 0.00 USD>)"
70,"CPU(brand='AMD', model='Athlon 3000G', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=None, tdp=35, integrated_graphics='Radeon Vega 3', multithreading=True, price=<Money: 0.00 USD>)"
71,"CPU(brand='AMD', model='Athlon 5370', cores=4, base_clock=ClockSpeed(cycles=2200000000), boost_clock=None, tdp=25, integrated_graphics='Radeon R3 (on die)', multithreading=False, price=<Money: 0.00 USD>)"
72,"CPU(brand='AMD', model='Athlon II 160u', cores=1, base_clock=ClockSpeed(cycles=1800000000), boost_clock=None, tdp=20, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
73,"CPU(brand='AMD', model='Athlon II X2 215', cores=2, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
74,"CPU(brand='AMD', model='Athlon II X2 220', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 26.73 USD>)"
75,"CPU(brand='AMD', model='Athlon II X2 221', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
76,"CPU(brand='AMD', model='Athlon II X2 235e', cores=2, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
77,"CPU(brand='AMD', model='Athlon II X2 240', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
78,"CPU(brand='AMD', model='Athlon II X2 240', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 29.48 USD>)"
79,"CPU(brand='AMD', model='Athlon II X2 240e', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
80,"CPU(brand='AMD', model='Athlon II X2 245', cores=2, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
81,"CPU(brand='AMD', model='Athlon II X2 245e', cores=2, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
82,"CPU(brand='AMD', model='Athlon II X2 250', cores=2, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 184.71 USD>)"
83,"CPU(brand='AMD', model='Athlon II X2 250', cores=2, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
84,"CPU(brand='AMD', model='Athlon II X2 250u', cores=2, base_clock=ClockSpeed(cycles=1600000000), boost_clock=None, tdp=25, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
85,"CPU(brand='AMD', model='Athlon II X2 255', cores=2, base_clock=ClockSpeed(cycles=3100000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
86,"CPU(brand='AMD', model='Athlon II X2 255', cores=2, base_clock=ClockSpeed(cycles=3100000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 130.32 USD>)"
87,"CPU(brand='AMD', model='Athlon II X2 260', cores=2, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
88,"CPU(brand='AMD', model='Athlon II X2 260u', cores=2, base_clock=ClockSpeed(cycles=1800000000), boost_clock=None, tdp=25, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
89,"CPU(brand='AMD', model='Athlon II X2 265', cores=2, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
90,"CPU(brand='AMD', model='Athlon II X2 270', cores=2, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
91,"CPU(brand='AMD', model='Athlon II X3 400e', cores=3, base_clock=ClockSpeed(cycles=2200000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
92,"CPU(brand='AMD', model='Athlon II X3 405e', cores=3, base_clock=ClockSpeed(cycles=2300000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
93,"CPU(brand='AMD', model='Athlon II X3 415e', cores=3, base_clock=ClockSpeed(cycles=2500000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
94,"CPU(brand='AMD', model='Athlon II X3 425', cores=3, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
95,"CPU(brand='AMD', model='Athlon II X3 435', cores=3, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 159.94 USD>)"
96,"CPU(brand='AMD', model='Athlon II X3 435', cores=3, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
